Repository,File Name,Class,Start Line,End Line,Displacement,Level
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,20,20,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,21,21,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,24,24,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Assigment with sum (total = total + 1),31,31,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,32,32,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,11,11,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,12,12,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,16,16,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,18,18,27,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,From,1,1,0,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,From,2,2,0,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple If statements,10,17,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple If statements,18,18,2,A1
